Product category,Product/Service,Memo/Description,COSTO FALCON,costo jesus,,,,,
Filter - units,   01-POF5247,POF 5247 (UNIT),"4,02","5,025",,,,,
Filter - units,   01-POF5274,POF 5274 (UNIT),"2,15","2,6875",,,,,
Filter - units,   01-POF5313,POF 5313 (UNIT),"1,58","1,975",,,,,
Filter - units,   01-POF 5317,POF 5317 (UNIT),"2,44","3,05",,,,,
Filter - units,   01-POF5401,POF 5401 (UNIT),"2,97","3,7125",,,,,
Filter - units,   01-POF - 257,POF 257 (UNIT),"1,9","2,375",,,,,
Filter - units,   01-POF4011,POF 4011 (UNIT),"1,42","1,775",,,,,
Filter - units,   01-POF6291,POF 6291 (UNIT),"2,18","2,725",,,,,
Filter - units,   01-POF4484,POF 4484 (UNIT),"1,95","2,4375",,,,,
Filter - units,   01-POF4610,POF 4610 (UNIT),"1,35","1,6875",,,,,
Filter - units,   01-POF4615,POF 4615 (UNIT),"1,41","1,7625",,,,,
Filter - units,   01-POF4651,POF 4651 (UNIT),"1,35","1,6875",,,,,
Filter - units,   01-POF4757,POF 4757 (UNIT),"2,45","3,0625",,,,,
Filter - units,   01-POF4798,POF 4798 (UNIT),"3,98","4,975",,,,,
Filter - units,   01-POF5276,POF 5276 (UNIT),"1,91","2,3875",,,,,
Filter - units,   01-POF5277,POF 5277 (UNIT),"3,41","4,2625",,,,,
Filter - units,   01-POF5280,POF 5280 (UNIT),"2,99","3,7375",,,,,
Filter - units,   01-POF5308,POF 5308 (UNIT),"3,13","3,9125",,,,,
Filter - units,   01-POF5309,POF 5309 (UNIT),"2,1","2,625",,,,,
Filter - units,   01-POF5436,POF 5436 (UNIT),"1,6",2,,,,,
Filter - units,   01-POF5465,POF 5465 (UNIT),"3,63","4,5375",,,,,
Filter - units,   01-POF5526,POF 5526 (UNIT),"4,59","5,7375",,,,,
Filter - units,   01-POF5545,POF 5545 (UNIT),"2,45","3,0625",,,,,
Filter - units,   01-POF5607,POF 5607 (UNIT),"2,87","3,5875",,,,,
Filter - units,   01-POF5610,POF 5610 (UNIT),"2,46","3,075",,,,,
Filter - units,   01-POF 5646,POF 5646 (UNIT),"2,45","3,0625",,,,,
Filter - units,   01-POF 5692,POF 5692 (UNIT),"2,95","3,6875",,,,,
Filter - units,   01-POF 5830,POF 5830 (UNIT),"2,15","2,6875",,,,,
Filter - units,   01-POF 5843,POF 5843 (UNIT),"3,95","4,9375",,,,,
Filter - units,   01-POF 5906,POF 5906 (UNIT),"3,25","4,0625",,,,,
Filter - units,   01-POF6135,POF 6135 (UNIT),"2,55","3,1875",,,,,
Filter - units,   01-POF6160,POF 6160 (UNIT),"1,87","2,3375",,,,,
Filter - units,   01-POF6162,POF 6162 (UNIT),"1,57","1,9625",,,,,
Filter - units,   01-POF6289,POF 6289 (UNIT),"6,12","7,65",,,,,
Filter - units,   01-POF7819,POF 7819 (UNIT),"5,25","6,5625",,,,,
Filter - units,   01-POF8113,POF 8113 (UNIT),"2,85","3,5625",,,,,
Filter - units,   01-POF 8812,POF 8812 (UNIT),"2,25","2,8125",,,,,
Filter - units,   01-POF - 4457,POF 4457 (UNIT),"1,32","1,65",,,,,
Filter - units,   01-POF - 5505,POF 5505 (unit),"2,95","3,6875",,,,,
Filter - units,   01-POF8161,POF 8161 (unit),"4,63","5,7875",,,,,
Filter - units,   01-POF1403,POF 1403 (units),"2,85","3,5625",,,,,
Filter - units,   01-POF1424,POF 1424 (units),"3,19","3,9875",,,,,
Filter - units,   01-POF1437,POF 1437 (units),"3,96","4,95",,,,,
Filter - units,   01-POF4461,POF 4461 (units),"1,9","2,375",,,,,
Filter - units,   01-POF5848,POF 5848 (units),"2,46","3,075",,,,,
