Product category,Product/Service,Memo/Description,COSTO FALCON,costo jesus,,,,,
Transmission Fluids,   02-TF-04,SAE 50 Full Synthetic Manual Transmission (55 gal),"329,6",412,,,,,
Transmission Fluids,   04-TF-01,ATF Dexron III (12 x 1qt),"23,61","31,48",,,,,
Transmission Fluids,   04-TF-02,ATF Dexron VI (12 x 1qt),"23,61","31,48",,,,,
ACCOUNTANT,   CFGD,Convenience Fee Gold,0,0,,,,,
Transmission Fluids,   04-TF-06,CVT Fluid (12 x 1qt),46,"  61,33 ",,,,,
Heavy Duty Motor Oils,   02-HDMO-02,SAE 10W-40 Synthetic Blend HDMO; API CK-4/SN (55 gal),"304,85",,,,,,
Miscellaneous,   ST-01,Pump for Drums,"23,8",,,,,,
Transmission Fluids,   04-TF-05,Power Steering Fluid (12 x 1qt),"29,5",,,,,,
Heavy Duty Motor Oils,   02-FSHD-01,"SAE 10W-30 Full Synthetic HDMO, API CK-4/SN Plus (55 Gal Drum)","308,5",,,,,,
Miscellaneous,"   PRIME WIPER 18""","PRIME WIPER 18"" CAJA 10 UNIT",19,,,,,,
Miscellaneous,"   PRIME WIPER 24""","PRIME WIPER 24"" CAJA 10 UNIT",19,,,,,,
Heavy Duty Motor Oils,   02-FSHD-05,"SAE 15W-40 Full Synthetic HDMO, API CK-4/SN Plus (55 Gal Drum)","310,5",,,,,,
Full Synthetic Motor Oils,   07-MB1FS-03,MOBIL 1 Full Synthetic 5W30 (Case 6x1 qt),"43,48",,,,,,
Heavy Duty Motor Oils,   00-FSHD-05,SAE 15W-40 Full Synthetic HDMO (Bulk),6,,,,,,
Cleaners,   WD40-02,WD-40 (12X16Oz),"100,92",,,,,,
Antifreeze,   01-CCOR,Antifreeze Coolant Concentrated Orange (5 gal),30,,,,,,
Antifreeze,   01-CGD50,Antifreeze Coolant Gold 50/50 (5 gal Pail),21,,,,,,
CLEANERS,   02-WW,Windshield Washer (55 gal Drum),120,,,,,,
